popularity,vote_average,vote_count,original_title,release_year,release_month,release_day,release_weekday,is_weekend_release,years_since_release,overview_length,title_length,vote_power,rating_power
22.74,8.2,436,6517.0,2023,10,13,4,0,0,184,28,49.855452199783834,49.855452199783834
20.047,8.245,607,6801.0,2022,12,25,6,1,1,108,40,52.851891901811044,52.851891901811044
24.023,8.245,1898,4179.0,2020,11,27,4,0,3,127,14,62.24218695064729,62.24218695064729
20.988,8.244,4202,3713.0,2019,11,8,4,0,4,411,5,68.78425781578218,68.78425781578218
35.844,8.241,5682,2474.0,2019,3,14,3,0,4,495,15,71.24537785482957,71.24537785482957
20.235,8.2,1588,9203.0,2018,9,1,5,1,5,139,9,60.44105336560107,60.44105336560107
84.169,8.2,26076,701.0,2019,4,24,2,0,4,327,17,83.38423362574349,83.38423362574349
23.49,8.239,1551,8940.0,1985,10,17,3,0,38,430,12,60.534402234422934,60.534402234422934
69.271,8.235,11849,2812.0,2018,11,16,4,0,5,296,10,77.24498471194859,77.24498471194859
14.484,8.235,2738,4669.0,2014,9,19,4,0,9,133,5,65.18289217388144,65.18289217388144
17.936,8.2,827,9066.0,2021,3,8,0,0,2,415,17,55.09590786595913,55.09590786595913
8.453,8.232,353,1587.0,2019,12,24,1,0,4,140,20,48.316052188917226,48.316052188917226
23.548,8.2,2306,9025.0,2012,7,21,5,1,11,220,11,63.49836671702477,63.49836671702477
14.075,8.2,462,9306.0,1964,2,15,5,1,59,219,3,50.329361843507115,50.329361843507115
11.769,8.2,773,3301.0,1962,12,5,2,0,61,281,11,54.54288936343576,54.54288936343576
88.174,8.2,26111,7531.0,1999,3,31,2,0,24,181,10,83.39523211366343,83.39523211366343
12.809,8.22,1221,8764.0,2020,10,26,0,0,3,364,11,58.42976682859327,58.42976682859327
93.431,8.219,8037,5504.0,2022,12,7,2,0,1,250,28,73.90471849100017,73.90471849100017
16.137,8.219,1479,3619.0,2020,5,5,1,0,3,356,34,59.99703455738532,59.99703455738532
63.282,8.218,16092,5867.0,1998,7,24,4,0,25,249,19,79.60069583944039,79.60069583944039
97.494,8.218,19424,2731.0,2000,5,4,3,0,23,283,9,81.1471303280882,81.1471303280882
78.191,8.216,22609,3377.0,2009,8,2,6,1,14,367,20,82.37482839627488,82.37482839627488
49.572,8.211,17753,7855.0,1980,5,23,4,0,43,239,11,80.33943022468969,80.33943022468969
14.672,8.211,1450,8758.0,1957,12,17,1,0,66,148,27,59.77614776443207,59.77614776443207
59.046,8.208,4020,9182.0,2020,10,16,4,0,3,352,14,68.12053872381283,68.12053872381283
47.319,8.2,3848,9437.0,2016,6,1,2,0,7,138,3,67.69566295692671,67.69566295692671
50.949,8.2,8434,7211.0,2011,8,9,1,0,12,635,8,74.12918895883655,74.12918895883655
85.568,8.2,19787,1543.0,2017,10,27,4,0,6,446,4,81.1212139732503,81.1212139732503
20.322,8.201,1510,6688.0,2019,8,8,3,0,4,150,29,60.03564161759874,60.03564161759874
