popularity,vote_average,vote_count,original_title,release_year,release_month,release_day,release_weekday,is_weekend_release,years_since_release,overview_length,title_length,vote_power,rating_power
5.976,6.748,339,3861.0,2016,2,17,2,0,7,155,8,39.33372502763368,39.33372502763368
23.744,7.1,1200,9448.0,2003,6,13,4,0,20,241,6,50.34545973676788,50.34545973676788
13.327,5.8,779,4677.0,1995,11,21,1,0,28,136,11,38.623904734165095,38.623904734165095
74.554,6.7,8059,2427.0,2018,1,17,2,0,5,325,18,60.26428119785452,60.26428119785452
13.215,7.082,374,8991.0,2012,6,22,4,0,11,98,30,41.97449011592245,41.97449011592245
15.22,5.705,3092,1967.0,1998,6,26,4,0,25,386,15,45.85049608816833,45.85049608816833
24.793,5.8,372,5819.0,2017,8,1,1,0,6,527,21,34.34515483393413,34.34515483393413
35.935,6.992,14182,1362.0,2006,6,8,3,0,17,386,4,66.8421170083159,66.8421170083159
15.859,5.919,991,7132.0,2001,9,14,4,0,22,248,15,40.83946107201916,40.83946107201916
12.087,6.479,616,3399.0,1999,6,4,4,0,24,338,8,41.62672640588301,41.62672640588301
24.471,7.2,5054,7417.0,2017,2,8,2,0,6,201,21,61.40255854647292,61.40255854647292
9.869,5.7,1059,831.0,2015,4,23,3,0,8,229,13,39.706337866504846,39.706337866504846
7.429,6.0,390,6849.0,2008,12,5,4,0,15,119,12,35.8122453599122,35.8122453599122
11.508,6.0,918,413.0,2010,12,3,4,0,13,178,15,40.93971673413412,40.93971673413412
5.745,6.5,603,5928.0,2015,4,9,3,0,8,94,12,41.6232322865763,41.6232322865763
10.052,4.9,593,611.0,2015,5,15,4,0,8,232,7,31.295708664876965,31.295708664876965
16.346,6.9,1889,1012.0,1989,2,17,4,0,34,439,32,52.05589154557045,52.05589154557045
9.059,6.3,453,4555.0,2017,5,10,2,0,6,144,21,38.54401234766049,38.54401234766049
17.814,6.8,5229,1823.0,2007,5,22,1,0,16,245,11,58.22273258800099,58.22273258800099
7.389,7.242,8306,2381.0,2011,4,20,2,0,12,305,9,65.35799130533856,65.35799130533856
47.319,8.2,3848,9437.0,2016,6,1,2,0,7,138,3,67.69566295692671,67.69566295692671
10.29,6.137,784,7671.0,2005,6,17,4,0,18,274,15,40.90730097603063,40.90730097603063
10.726,7.052,844,5933.0,2003,7,22,1,0,20,151,10,47.52580189612279,47.52580189612279
14.282,7.113,1537,924.0,2007,9,26,2,0,16,200,34,52.196887961416536,52.196887961416536
12.134,6.507,946,3541.0,2014,4,11,4,0,9,135,3,44.59441719936181,44.59441719936181
10.925,6.122,2464,3540.0,2013,8,15,3,0,10,128,4,47.81249606341091,47.81249606341091
21.879,6.401,6226,3656.0,2013,7,17,2,0,10,293,10,55.92329636113856,55.92329636113856
6.729,5.2,330,282.0,1996,12,13,4,0,27,249,18,30.17101555196073,30.17101555196073
8.064,5.3,307,5953.0,2014,10,21,1,0,9,288,13,30.36952884975994,30.36952884975994
11.944,6.131,1617,7363.0,2004,3,25,3,0,19,171,15,45.30162852449864,45.30162852449864
8.572,5.5,596,3526.0,2016,1,22,4,0,7,126,9,35.15554412365931,35.15554412365931
17.482,6.9,531,254.0,2019,9,26,3,0,4,194,36,43.30884007645735,43.30884007645735
6.781,7.439,513,5493.0,2018,12,5,2,0,5,495,7,46.43589887172098,46.43589887172098
22.163,6.682,470,5880.0,2010,10,28,3,0,13,217,16,41.126761784217706,41.126761784217706
9.593,7.2,473,5065.0,1981,12,4,4,0,42,247,14,44.36069271620456,44.36069271620456
18.273,7.4,3394,2120.0,2007,9,14,4,0,16,163,16,60.16243689594669,60.16243689594669
6.05,6.5,315,1966.0,2019,12,11,2,0,4,188,9,37.41232438831493,37.41232438831493
11.903,6.24,369,1486.0,2016,3,3,3,0,7,233,19,36.9002587551828,36.9002587551828
18.996,7.021,1776,2199.0,2020,2,13,3,0,3,98,5,52.53590911547381,52.53590911547381
11.059,5.7,509,6887.0,2006,4,5,2,0,17,179,12,35.536141136594715,35.536141136594715
17.663,6.527,1380,704.0,2007,11,28,2,0,16,285,5,47.19388570230245,47.19388570230245
15.872,6.796,3758,8532.0,2008,8,15,4,0,15,188,24,55.94404842326215,55.94404842326215
10.592,5.5,598,4929.0,2009,12,3,3,0,14,299,4,35.173938789634974,35.173938789634974
21.291,6.7,941,4575.0,2004,8,4,2,0,19,455,43,45.88163533966164,45.88163533966164
10.809,6.096,710,274.0,2015,9,2,2,0,8,195,19,40.03043513208056,40.03043513208056
13.296,5.3,1029,495.0,2017,6,30,4,0,6,396,25,36.76776463048551,36.76776463048551
16.03,5.4,1443,5219.0,2014,1,1,2,0,9,247,36,39.28593052504497,39.28593052504497
7.685,7.3,335,2128.0,1987,11,25,2,0,36,177,16,42.46491146773139,42.46491146773139
11.839,5.86,317,6874.0,2020,11,12,3,0,3,179,18,33.76562110309184,33.76562110309184
